Category,Question,Keyword_Coverage_%,Accuracy_Score,Completeness_Score,Relevance_Score,Mean_Reciprocal_Rank_(MRR),Normalized_Discounted_Cumulative_Gain_(nDCG),Judge_Feedback
direct_fact,"When using the Gradio Python client to interact with a hosted Gradio app that transcribes audio files, what Python function must be used to correctly handle the audio file input for the client.predict method, and what minimum Python version is required to install the gradio_client package?",100.0,5,5,5,0.82,0.8262347110653604,"The generated answer is accurate, complete, and directly addresses the user's question without unnecessary information."
direct_fact,"What specific Gradio chatbot event should a developer use to implement a feature that allows users to retry the generation of a single chat message, and how does Gradio's `gr.ChatInterface` facilitate this?",100.0,5,5,5,0.9,0.8275825920996505,"The generated answer is accurate, complete, and directly addresses the prompt, matching the reference answer perfectly."
conceptual,"How does the `@gr.cache` decorator handle asynchronous generator functions that yield multiple values, and how does this behavior benefit streaming media components like `gr.Audio` or `gr.Video` with `streaming=True`?",80.0,4,5,5,0.7,0.694314810354121,"The generated answer is accurate and complete, explaining the caching and replay of yielded values, but it slightly deviates in wording from the reference answer."
conceptual,"In a Gradio function, what is the behavioral difference between raising `gr.Error()` and calling `gr.Warning()` or `gr.Info()`, and how does this affect the function execution and user alert display?",80.0,5,5,5,0.8,0.8,"The generated answer provides accurate, complete, and directly relevant information similar to the reference answer."
direct_fact,"When developing a custom component in Gradio, which command and flag would you use to get detailed help information specifically for creating a new component template?",60.0,5,5,5,0.4333333333333333,0.4371084163350038,"The generated answer perfectly matches the reference answer in accuracy, completeness, and relevance."
direct_fact,"According to the documentation, what are the three SDK options provided by Hugging Face Spaces for hosting demos, and what is one key feature of Spaces' workflow?",100.0,5,5,5,1.0,0.9949443653184508,"The generated answer accurately and completely mirrors the reference answer, directly addressing the question and including all necessary details."
direct_fact,"According to the documentation, what change should be made to the dependencies in the requirements.txt file if a user does not have GPU access, and what impact does this change have on the YOLOv10 model inference performance?",100.0,5,5,5,1.0,0.9554728320904726,"The generated answer is factually correct, complete, and directly addresses the question without unnecessary information."
direct_fact,"After creating a new Discord application and navigating to the 'Bot' section in the Discord apps dashboard, what is the exact sequence of steps described to obtain the token necessary for integrating with a Gradio app?",60.0,5,5,5,0.6,0.5703918089034135,"The generated answer accurately follows the reference answer in all aspects, providing a complete and relevant response."
code_syntax,"When using the Gradio JavaScript Client to transcribe an audio file from a URL, what is the correct method for preparing the audio file before passing it to the app's predict function, and how is the audio file obtained from the URL?",100.0,5,5,5,0.9,0.9048280725701865,"The generated answer correctly explains the process of fetching the audio using the fetch API, converting it to a blob, and using handle_file() before calling predict, matching the reference description precisely."
direct_fact,"What is the necessary parameter to set in the `.launch()` method of a Gradio app to make it function as an MCP Server, and what URL path does Gradio expose this server on by default?",100.0,5,5,5,0.7,0.7949233647281467,"The generated answer accurately reflects the key details from the reference, including the parameter required and the default URL path for the MCP server."
direct_fact,Which Gradio theme uses serif-style fonts and what is the primary and secondary color scheme of this theme?,66.66666666666666,1,1,2,0.5333333333333333,0.5492574899281685,"The generated answer incorrectly identifies the theme with serif fonts and provides the wrong color scheme, diverging from the reference answer."
direct_fact,"What parameters control the automatic deletion behavior of `gr.State` variables, and how do they function to manage resource cleanup in a Gradio app?",100.0,5,5,5,0.9,0.9261859507142916,"The generated answer accurately, completely, and relevantly explains the parameters controlling the automatic deletion of `gr.State` variables, identical to the reference answer."
conceptual,"In Gradio, how do you properly implement session state to persist data across multiple submits within a single user session, and why is it necessary to include both 'state' input and output components in the Interface creation?",60.0,5,5,5,0.6,0.588773230902945,"The generated answer accurately and completely explains how to implement session state in Gradio, including the necessity of 'state' input and output components, aligning well with the reference."
direct_fact,"When configuring the Cursor MCP client to connect to the Gradio Docs MCP Server, what exact URL must be added to the MCP server configuration JSON, and under which key should this URL be placed?",100.0,4,4,5,1.0,0.945949214147464,"The generated answer correctly identifies the URL and provides the correct JSON structure, but adds an unnecessary 'url' subkey which was not present in the reference answer."
direct_fact,"What are the two Gradio classes mentioned in the documentation that can be themed by passing the `theme=` parameter to their `launch()` method, and provide a code example for using a built-in third-party theme with `Blocks`?",100.0,5,5,5,1.0,0.9665236592893638,"The generated answer accurately lists the classes `Interface` and `Blocks`, provides a correct code example, and is directly relevant to the prompt."
